i_lambda,lambda,alpha,beta,sd_beta
36,1435,-1.4630561530399995,0.028252124911900853,0.0029734950217843743
37,1436,-1.4635996509199996,0.024558616447432145,0.00276225907398995
38,1437,-1.4633692909999996,0.021865723166570126,0.0022457856812728547
39,1438,-1.4624798642399999,0.019292623207722313,0.0017906578388505255
40,1439,-1.46101802428,0.017542464350121512,0.0015565138735257537
41,1440,-1.45874757128,0.015892172591345288,0.0013819205821634132
42,1441,-1.4557949316799998,0.013337968787160787,0.0012458181808571017
43,1442,-1.45230255856,0.010732817415128012,0.0013618717750724563
44,1443,-1.4481572699599998,0.007427230217979262,0.001347099139961737
45,1444,-1.44410819616,0.0041265649245237155,0.0014145601504058148
46,1445,-1.4402380966400004,0.0011676031932218785,0.0017611804608862686
47,1446,-1.4360383918000001,-0.002382795078241202,0.002046206430525608
48,1447,-1.43166256536,-0.0049039251877174206,0.0020573666263212585
49,1448,-1.4269155842400003,-0.006530738130705106,0.002350871419437978
50,1449,-1.421920846,-0.008201743550642501,0.0022982505016034788
51,1450,-1.41674430272,-0.009666181603776594,0.0022806700405125493
52,1451,-1.4116045678800002,-0.011635103309259659,0.00269963749580136
53,1452,-1.4067213140800001,-0.013539375192687065,0.0029571447383303093
54,1453,-1.4015736234400002,-0.014987378978614692,0.003088253615799975
55,1454,-1.3964728706000002,-0.015820822244255343,0.0033187120605695434
56,1455,-1.39102214348,-0.017214542947899057,0.0035193175525793097
57,1456,-1.3855277526800003,-0.01821093251230834,0.003626673983348006
58,1457,-1.3793643453200004,-0.020066653016827078,0.003739072691066821
59,1458,-1.3728748123200005,-0.022845040879346534,0.0037188824364485056
60,1459,-1.3657941020000006,-0.025136856130015366,0.003887694428015897
61,1460,-1.3583782318400004,-0.02808160339637796,0.0042083268907904476
62,1461,-1.3500708518800004,-0.03016254043981921,0.004352067547082447
63,1462,-1.3409621991200005,-0.031203375944793815,0.004598398349962977
64,1463,-1.3315012185600008,-0.032888946859704005,0.0048508611295864056
65,1464,-1.3215588793600004,-0.0342527234139644,0.004989378647759537
66,1465,-1.3106932132000007,-0.0362981365979723,0.00504444187566169
67,1466,-1.299288588280001,-0.03911910876005932,0.005309186225214562
68,1467,-1.2875637358800007,-0.042013231852255126,0.005294878323348724
69,1468,-1.2746032838800005,-0.04509684970668717,0.005124400647441928
70,1469,-1.2606195357200007,-0.046853422419764576,0.00526813045077431
71,1470,-1.2458589486400007,-0.048550544225842804,0.005239431697522183
72,1471,-1.230183172080001,-0.05031656524503705,0.005322014393892553
73,1472,-1.213768536960001,-0.051058129750742594,0.005735366347767209
74,1473,-1.196849024760001,-0.05322813647174892,0.005852697529576647
75,1474,-1.1796651385200008,-0.05506844302416823,0.006021467093852449
76,1475,-1.1620471446800007,-0.05678044219637284,0.006312626049252773
77,1476,-1.1441747882400009,-0.05943078194100373,0.006354883817821473
78,1477,-1.126228352440001,-0.06059251345400575,0.006474884367719274
79,1478,-1.1077307339600009,-0.06205289286645337,0.006706853821095079
80,1479,-1.0887926150000011,-0.0646436448723145,0.006933801411156589
81,1480,-1.0698079380000012,-0.06723537090326002,0.0070625297448601194
82,1481,-1.050219762760001,-0.07023147705588001,0.007052626089128235
83,1482,-1.0300533543200012,-0.07251426333582915,0.007064451093026523
84,1483,-1.009972301920001,-0.07455340361011108,0.007168718181204618
85,1484,-0.9897565942800014,-0.0769084920485558,0.007320807151339179
86,1485,-0.9694930527600011,-0.07883358853123489,0.007553459041173849
87,1486,-0.9490465495200012,-0.08062881069057251,0.007653164266712608
88,1487,-0.9286062122400012,-0.08250495145519218,0.00768617609334341
89,1488,-0.9080952424000014,-0.08401016268242952,0.007696522026974294
90,1489,-0.8872527511200012,-0.08476633269950898,0.007571057815757158
91,1490,-0.8663626428800014,-0.08620067808832227,0.007568718396871978
92,1491,-0.8457581520400015,-0.08836871614238488,0.007600313676814931
93,1492,-0.8248541627600016,-0.08994655547421627,0.007694259007811876
94,1493,-0.8038437872400016,-0.09155838291746655,0.007926994438059321
95,1494,-0.7824313166400014,-0.0928206756285105,0.008044296265590827
96,1495,-0.7604762065200014,-0.09319907728086524,0.008121418350709415
97,1496,-0.7386743034400014,-0.09424059505289045,0.008141338460150247
98,1497,-0.7164421551200014,-0.09529383779050389,0.008058104202111449
99,1498,-0.6943121515200016,-0.09662494934463325,0.008010711630495675
100,1499,-0.6722566946800016,-0.09864841938687516,0.007945751943425353
101,1500,-0.6506184780800015,-0.1000844632276157,0.007878997513433612
102,1501,-0.6283740800000016,-0.10127689596187255,0.007903254574667626
103,1502,-0.6064168554400017,-0.10230392412516584,0.008022087405477276
104,1503,-0.5844923746800017,-0.10324883821266717,0.008077338385766478
105,1504,-0.5626020740000016,-0.10480838739535264,0.00824876623362859
106,1505,-0.5413414361600017,-0.10587316201421242,0.008356456520122795
107,1506,-0.5196253102400017,-0.10564323350589545,0.008236299943414904
108,1507,-0.49778060976000166,-0.10493322616440519,0.008065789397853967
109,1508,-0.4758118486400016,-0.10465576911344146,0.00794717355091118
110,1509,-0.4533450005600017,-0.10462186059444267,0.007844003868061451
111,1510,-0.4312081178400016,-0.10513208875974837,0.007704622121719532
112,1511,-0.40886496508000175,-0.10629268055188763,0.007722781032795503
113,1512,-0.3862144989200017,-0.1064367242852079,0.007742329500857018
114,1513,-0.3636962265200016,-0.10610953717256047,0.007671735245410271
115,1514,-0.3408554412000016,-0.10659547521474746,0.007748689080878158
116,1515,-0.31836322596000166,-0.10627641080807106,0.00787125794995403
117,1516,-0.29654576912000163,-0.10570268294810099,0.007966049291662594
118,1517,-0.2749736176800016,-0.10581874583907727,0.008009167865789112
119,1518,-0.25409295152000166,-0.1059726579024191,0.007989463070343874
120,1519,-0.23336296812000162,-0.10561769919406876,0.007975236980809335
121,1520,-0.2124782711200017,-0.10593094131894618,0.008066105328489942
122,1521,-0.19195725800000168,-0.10718229325163348,0.008002129860884997
123,1522,-0.17109149764000167,-0.10710501502585276,0.00784342647869313
124,1523,-0.1501650730400017,-0.10701275652688033,0.007733111408774193
125,1524,-0.12970489492000167,-0.10725403265879782,0.007665488818378751
126,1525,-0.10923433516000167,-0.10671731521930819,0.007594489941243427
127,1526,-0.08884499368000165,-0.1046401632274526,0.007626921073884473
128,1527,-0.06831053656000163,-0.10393734163373118,0.007548383317775537
129,1528,-0.047733726080001634,-0.10380191519289225,0.007390037278839982
130,1529,-0.027371435800001627,-0.10328968145199822,0.007288404417110427
131,1530,-0.007057251240001619,-0.10286300951050122,0.0071900651081536785
132,1531,0.013573925119998385,-0.10244178393770756,0.007115210890294438
133,1532,0.03394940587999839,-0.10215136087324628,0.007098201353127699
134,1533,0.0546689171599984,-0.10168318308796459,0.00706059025653491
135,1534,0.0760323614399984,-0.10118197399179674,0.007086788377993802
136,1535,0.09693157687999841,-0.10089950148674418,0.00701911885148479
137,1536,0.11776219119999841,-0.1006846597623691,0.006814266996043134
