i_lambda,lambda,logA,run
67,1466,-1.33197652718586,1
68,1467,-1.32064227388082,1
69,1468,-1.30838502939663,1
70,1469,-1.29561162380587,1
71,1470,-1.28232981257931,1
72,1471,-1.26839699284362,1
73,1472,-1.2541956647811,1
74,1473,-1.23914237394592,1
75,1474,-1.22324066029282,1
76,1475,-1.20697314693293,1
77,1476,-1.19007977560484,1
78,1477,-1.17269562306837,1
79,1478,-1.15506424712343,1
80,1479,-1.13708929511478,1
81,1480,-1.11858040281686,1
82,1481,-1.09961651031384,1
83,1482,-1.08051154662489,1
84,1483,-1.06137582439185,1
85,1484,-1.04212760790288,1
86,1485,-1.02246019933318,1
87,1486,-1.00255128190038,1
88,1487,-0.982490835674994,1
89,1488,-0.962132107641773,1
90,1489,-0.941321488811474,1
91,1490,-0.920371743881662,1
92,1491,-0.898959771825571,1
93,1492,-0.878025658510826,1
94,1493,-0.857265816158535,1
95,1494,-0.836300843814314,1
96,1495,-0.81555138546857,1
97,1496,-0.794442143618288,1
98,1497,-0.772884827210082,1
99,1498,-0.751250440898563,1
100,1499,-0.729428674110953,1
101,1500,-0.707905564843557,1
102,1501,-0.68602428591354,1
103,1502,-0.664134352808712,1
104,1503,-0.64234352573143,1
105,1504,-0.620310716004162,1
106,1505,-0.597936349999226,1
107,1506,-0.575273478922588,1
108,1507,-0.552915805618506,1
109,1508,-0.530950742802934,1
110,1509,-0.508953834247644,1
111,1510,-0.487316947149473,1
112,1511,-0.465384776208191,1
113,1512,-0.442801773464488,1
114,1513,-0.420997984135547,1
115,1514,-0.39902591299038,1
116,1515,-0.376732211803681,1
117,1516,-0.35524231645728,1
118,1517,-0.333575264822619,1
119,1518,-0.311883114835414,1
120,1519,-0.290249298527126,1
121,1520,-0.268681819138129,1
122,1521,-0.247504100215579,1
123,1522,-0.225893967415281,1
124,1523,-0.204616416494662,1
125,1524,-0.183703436698776,1
126,1525,-0.16268357916586,1
127,1526,-0.141810365889644,1
128,1527,-0.12058664213466,1
129,1528,-0.0989083453259593,1
130,1529,-0.0778439147344485,1
131,1530,-0.0564877062970575,1
132,1531,-0.0355874389588199,1
133,1532,-0.0158037229479062,1
134,1533,0.00455483898840265,1
135,1534,0.0251275342794169,1
136,1535,0.0456122882814126,1
137,1536,0.0660028830931528,1
138,1537,0.0868276734339284,1
139,1538,0.10796661843693,1
140,1539,0.129025086891731,1
141,1540,0.150323024071219,1
142,1541,0.171634511008753,1
143,1542,0.19302490178806,1
144,1543,0.214089138807894,1
145,1544,0.235475790308563,1
146,1545,0.256726588100524,1
